,property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail,LatLong,NearestBus,BusDistance,NearestMetro,MetroDistance,NearestCC,CCDistance,NearestLIB,LIBDistance,NearestSchools,SchoolsDistance,RATING,Num_bars,Mean_Rating_bars,Mean_PriceLevel_bars,Top_5_Rated_bars,Num_restaurants,Mean_Rating_restaurants,Mean_PriceLevel_restaurants,Top_5_Rated_restaurants
181,M5605334982,2921934518,735000,,2.0,2,2.0,1281.0,,condo,condos,Arlington,1020 N Highland St Unit 316,22201,38.88499,-77.0948,North Arlington,https://www.realtor.com/realestateandhomes-detail/1020-N-Highland-St-Unit-316_Arlington_VA_22201_M56053-34982,https://ap.rdcpix.com/1b55b497294323616c181f5b0ba8038fl-m2658131313x.jpg,"38.88499,-77.0948",Wilson Blvd + Veitch St,0.671,Clarendon Metro,0.146,Lee Comm. Center,0.76,Plaza Library & Arlington Shop,0.65,Arlington Science Focus School,0.528,4.832,35.0,4.397142857142858,1.9130434782608696,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",46.0,4.206521739130435,1.7727272727272727,Screwtop Wine Bar; Troy's Italian Kitchen; Ambar Clarendon; Bakeshop; Earl's Sandwiches
182,M5322391249,2921934537,350000,,1.0,1,2.0,748.0,,condo,condos,Arlington,2901C S Woodley St Unit 3,22206,38.841553999999995,-77.09676999999999,South Arlington,https://www.realtor.com/realestateandhomes-detail/2901-S-Woodley-St-Apt-C_Arlington_VA_22206_M53223-91249,https://ap.rdcpix.com/1140cb9dce955bbce215010bdea3d34dl-m869418742x.jpg,"38.841553999999995,-77.09676999999999","Shirlington Station, Bay E",0.53,Pentagon City Metro,2.428,Barcroft Sport & Fitness Center,0.687,Shirlington Library,0.346,Abingdon Elementary School,0.149,3.1519999999999997,8.0,4.4375,2.0,Ali's Bar; Busboys And Poets; Cheesetique Shirlington; Samuel Beckett's Irish Gastro Pub; T.H.A.I. In Shirlington Restaurant,17.0,4.329411764705882,1.7333333333333334,Aroma Restaurant; Busboys And Poets; Cheesetique Shirlington; Moby Dick House of Kabob; Palette 22
183,M6969716739,2921924795,545000,,2.0,2,2.0,1409.0,,condo,condos,Arlington,4141 N Henderson Rd Apt 123,22203,38.87572889,-77.10932443,Buckingham,https://www.realtor.com/realestateandhomes-detail/4141-N-Henderson-Rd-Apt-123_Arlington_VA_22203_M69697-16739,https://ap.rdcpix.com/91674fbf0907f7f55f109456a5bb685bl-m3397451650x.jpg,"38.87572889,-77.10932443",N Pershing Dr + N Glebe Rd,0.244,Ballston Metro,0.465,Lubber Run Comm. Center,0.331,Central Library,0.569,Jefferson Middle School,0.691,3.8960000000000004,13.0,4.24,1.8571428571428572,Ballston Service Station; Ricky's Pub & Grill; The Bronson Bierhall; First Down Sports Bar & Grill; Grand Cru Wine Bar and Bistro,35.0,3.9628571428571426,1.5625,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; Sweet Leaf Cafe; Rus Uz - Arlington; Super Pollo
184,M5049242286,2921934626,850000,,2.0,2,3.0,1716.0,6385.0,single_family,,Arlington,16 S Aberdeen St,22204,38.866402,-77.11479,Arlington Forest,https://www.realtor.com/realestateandhomes-detail/16-S-Aberdeen-St_Arlington_VA_22204_M50492-42286,https://ap.rdcpix.com/d074a634b0c9dda0c920d37926a743bbl-m671844867x.jpg,"38.866402,-77.11479",N Pershing Dr + N Glebe Rd,0.705,Ballston Metro,1.087,Lubber Run Comm. Center,0.417,Glencarlyn Library,0.628,Barcroft Elementary School,0.497,3.0,2.0,4.2,2.0,Crystal Thai Restaurant; Outback Steakhouse,2.0,4.2,2.0,Crystal Thai Restaurant; Outback Steakhouse
185,M5477864761,2921934534,2350000,1.0,5.0,6,5.0,5221.0,5758.0,single_family,,Arlington,1609 N Garfield St,22201,38.889916,-77.094073,Lyon Village,https://www.realtor.com/realestateandhomes-detail/1609-N-Garfield-St_Arlington_VA_22201_M54778-64761,https://ap.rdcpix.com/8db2e91eb2f7111d678073ad99a3ed39l-m2924161610x.jpg,"38.889916,-77.094073",Wilson Blvd + Veitch St,0.473,Clarendon Metro,0.206,Lee Comm. Center,0.431,Plaza Library & Arlington Shop,0.466,Key Elementary School,0.424,,40.0,4.3825,1.9259259259259258,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",48.0,4.233333333333333,1.8085106382978724,Screwtop Wine Bar; The Italian Store; Ambar Clarendon; Bakeshop; Earl's Sandwiches
186,M5219182412,2921934478,1025000,1.0,3.0,4,3.0,2406.0,1238.0,condo,townhomes,Arlington,504 N Thomas St Apt K,22203,38.875612,-77.111599,Buckingham,https://www.realtor.com/realestateandhomes-detail/504-N-Thomas-St-Apt-K_Arlington_VA_22203_M52191-82412,https://ap.rdcpix.com/42e3c71b8e55dd5f55eb5adedd264a75l-m1739597260x.jpg,"38.875612,-77.111599",N Pershing Dr + N Glebe Rd,0.348,Ballston Metro,0.445,Lubber Run Comm. Center,0.251,Central Library,0.613,Arlington Traditional School,0.626,4.968,16.0,4.178571428571428,1.9090909090909092,Ballston Service Station; Ricky's Pub & Grill; The Bronson Bierhall; Crafthouse; First Down Sports Bar & Grill,34.0,4.0176470588235285,1.6774193548387097,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; Sweet Leaf Cafe; Rus Uz - Arlington; Super Pollo
187,M5574908151,2921934546,310000,,1.0,1,1.0,610.0,,condo,condos,Arlington,1901 N Rhodes St Apt 46,22201,38.895769,-77.081695,Colonial Village,https://www.realtor.com/realestateandhomes-detail/1901-N-Rhodes-St-Apt-46_Arlington_VA_22201_M55749-08151,https://ap.rdcpix.com/b7bcf29b9cf384bdba190f0411b72955l-m615553483x.jpg,"38.895769,-77.081695","Wilson Blvd, WB @ N Quinn Street, FS",0.21,Arl. Courthouse Metro,0.347,Dawson Terrace Comm.,0.259,Plaza Library & Arlington Shop,0.388,Nottingham Elementary School,0.273,4.76,16.0,4.1866666666666665,1.9333333333333333,Verre Wine Bar; Ireland's Four Courts; MeJana - Lebanese Cuisine; Quinn's; Ragtime,17.0,4.211764705882352,1.75,Mele Bistro; Five Guys; Ireland's Four Courts; MeJana - Lebanese Cuisine; Ragtime
188,M5014828151,2921921095,899900,,2.0,2,3.0,2050.0,6000.0,single_family,,Arlington,708 20th St S,22202,38.855403,-77.058121,South Arlington,https://www.realtor.com/realestateandhomes-detail/708-20th-St-S_Arlington_VA_22202_M50148-28151,https://ap.rdcpix.com/2d5ccdf85b1c732ab149ef0adde6ecc4l-m1432364872x.jpg,"38.855403,-77.058121",S Clark St + 23rd St,0.338,Crystal City Metro,0.462,Aurora Hills Comm. Center,0.152,Aurora Hills Library,0.152,Oakridge Elementary School,0.743,3.96,17.0,4.08125,2.0,Freddie's Beach Bar & Restaurant; Bowlero Arlington; Enjera Restaurant; Jaleo; Urban Thai Restaurant,43.0,4.041860465116279,1.6571428571428573,Sushi Garden; The Athena Pallas Restaurant; Chick-fil-A; Freddie's Beach Bar & Restaurant; Bonsai Grill
189,M5937584215,2921920723,459990,,1.0,1,1.0,689.0,,condo,condos,Arlington,888 N Quincy St Unit 207,22203,38.88056388,-77.1076812,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/888-N-Quincy-St-Unit-207_Arlington_VA_22203_M59375-84215,https://ap.rdcpix.com/1e81f5324653e32ac96be38fefc15a2dl-m2878499290x.jpg,"38.88056388,-77.1076812",Ballston Station + Bus Bay B,0.223,Ballston Metro,0.271,Lubber Run Comm. Center,0.652,Central Library,0.224,Washington-Liberty High School,0.518,4.28,17.0,4.121428571428571,1.9166666666666667,Ballston Service Station; The Bronson Bierhall; Crafthouse; First Down Sports Bar & Grill; Grand Cru Wine Bar and Bistro,42.0,4.002380952380952,1.6666666666666667,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; El Pollo Rico; Sweet Leaf Cafe; Rocklands Barbeque & Grilling Company- Arlington Store
190,M6584852458,2921920077,605000,,2.0,2,2.0,941.0,,condo,condos,Arlington,1321 N Adams Ct Apt 206,22201,38.88862,-77.0871,North Arlington,https://www.realtor.com/realestateandhomes-detail/1321-N-Adams-Ct-Apt-206_Arlington_VA_22201_M65848-52458,https://ap.rdcpix.com/fd9fcd165228f09d120872f13e6a786al-m2953298500x.jpg,"38.88862,-77.0871",Wilson Blvd + Veitch St,0.214,Arl. Courthouse Metro,0.226,Lee Comm. Center,0.703,Plaza Library & Arlington Shop,0.186,Key Elementary School,0.259,,35.0,4.391428571428572,1.88,Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; Screwtop Wine Bar; TTT Rooftop,43.0,4.232558139534883,1.7857142857142858,Screwtop Wine Bar; Ambar Clarendon; Bakeshop; Earl's Sandwiches; Genji Express
191,M6466022892,2921918108,729900,,2.0,2,2.0,1231.0,,condo,condos,Arlington,1021 N Garfield St Apt 210,22201,38.8852,-77.09355,North Arlington,https://www.realtor.com/realestateandhomes-detail/1021-N-Garfield-St-Apt-210_Arlington_VA_22201_M64660-22892,https://ap.rdcpix.com/e05de21b21c96f2abbf8f47b95a61fb7l-m2354367157x.jpg,"38.8852,-77.09355",Wilson Blvd + Veitch St,0.612,Clarendon Metro,0.159,Lee Comm. Center,0.755,Plaza Library & Arlington Shop,0.59,Arlington Science Focus School,0.574,4.832,38.0,4.3842105263157904,1.9230769230769231,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",50.0,4.184,1.7708333333333333,Screwtop Wine Bar; Troy's Italian Kitchen; Ambar Clarendon; Bakeshop; Earl's Sandwiches
192,M5868799265,2921897728,1300000,1.0,2.0,3,4.0,2720.0,7250.0,single_family,,Arlington,232 N Cleveland St,22201,38.878101,-77.088789,North Arlington,https://www.realtor.com/realestateandhomes-detail/232-N-Cleveland-St_Arlington_VA_22201_M58687-99265,https://ap.rdcpix.com/ec6cf3ebf5d4328aa306f0d01908f40cl-m2826630134x.jpg,"38.878101,-77.088789","Clarendon Blvd, EB @ N Uhle Street, NS",0.935,Clarendon Metro,0.711,Thomas Jefferson Community Center,0.742,Plaza Library & Arlington Shop,0.909,Long Branch Elementary School,0.213,4.368,2.0,4.7,,Ms. Peacock's Champagne Lounge; The Board Room VA,9.0,4.144444444444444,1.2857142857142858,Troy's Italian Kitchen; Bonchon Arlington - N Pershing Dr; Sibarita Restaurant; Astor Mediterranean; Eastern Carryout & Cafe
193,M5945216673,2921894325,1895000,1.0,5.0,6,5.0,5500.0,8259.0,single_family,,Arlington,2827 N Somerset St,22213,38.898045,-77.157774,Williamsburg,https://www.realtor.com/realestateandhomes-detail/2827-N-Somerset-St_Arlington_VA_22213_M59452-16673,https://ap.rdcpix.com/739b47769ee367c779d8a863ff3b9e61l-m2011729606x.jpg,"38.898045,-77.157774",E Falls Church Station + Bus Bay C,0.807,Virginia Square Metro,0.755,Langston Brown Comm. Center,1.674,Westover Library,1.158,Bishop O'Connell,0.287,,0.0,,,,4.0,4.466666666666667,1.0,Deli Italiano Gourmet Pizza and Subs; Peking Pavilion; Smoking Kow - Arlington; VA
194,M5231383844,2921896782,350000,,1.0,1,1.0,851.0,,condo,condos,Arlington,4151 S Four Mile Run Dr Unit 401,22204,38.84956,-77.09746899999999,Douglas Park,https://www.realtor.com/realestateandhomes-detail/4151-S-Four-Mile-Run-Dr-Unit-401_Arlington_VA_22204_M52313-83844,https://ap.rdcpix.com/5b7a84f3f139d455eddaa3180d3db618l-m1895125414x.jpg,"38.84956,-77.09746899999999","Shirlington Station, Bay E",0.884,Pentagon City Metro,2.177,Barcroft Sport & Fitness Center,0.255,Shirlington Library,0.724,Claremont Elementary School,0.457,3.648,0.0,,,,1.0,4.1,1.0,Chicken & Steak Las Brasas
195,M5217840930,2921893762,315000,,1.0,1,1.0,604.0,,condo,condos,Arlington,1728 N Rhodes St Unit 5-275,22201,38.89347,-77.08102,Colonial Village,https://www.realtor.com/realestateandhomes-detail/1728-N-Rhodes-St-5-275_Arlington_VA_22201_M52178-40930,https://ap.rdcpix.com/1970db989643f293ec9b33073ffd7c27l-m1978765712x.jpg,"38.89347,-77.08102","Wilson Blvd, WB @ N Quinn Street, FS",0.145,Arl. Courthouse Metro,0.255,Dawson Terrace Comm.,0.422,Plaza Library & Arlington Shop,0.296,Nottingham Elementary School,0.231,4.76,16.0,4.253333333333334,1.9333333333333333,Verre Wine Bar; Ireland's Four Courts; MeJana - Lebanese Cuisine; Quinn's; Ragtime,20.0,4.205,1.7894736842105263,Mele Bistro; Five Guys; Ireland's Four Courts; MeJana - Lebanese Cuisine; Quarterdeck
196,M6083451797,2921886824,449000,1.0,1.0,2,2.0,910.0,,condo,condos,Arlington,2100 Lee Hwy Apt 206,22201,38.8959,-77.08374,Colonial Village,https://www.realtor.com/realestateandhomes-detail/2100-Lee-Hwy-Apt-206_Arlington_VA_22201_M60834-51797,https://ap.rdcpix.com/dfca545f9af335bfde4e76fb4affe7b9l-m3051421190x.jpg,"38.8959,-77.08374","Wilson Blvd, WB @ N Quinn Street, FS",0.311,Arl. Courthouse Metro,0.314,Dawson Terrace Comm.,0.247,Plaza Library & Arlington Shop,0.351,Key Elementary School,0.296,,15.0,4.260000000000001,1.9285714285714286,Verre Wine Bar; Ireland's Four Courts; MeJana - Lebanese Cuisine; Quinn's; Ragtime,17.0,4.205882352941177,1.75,Mele Bistro; Five Guys; Ireland's Four Courts; MeJana - Lebanese Cuisine; Ragtime
197,M6835913113,2921886787,924000,,2.0,2,4.0,1952.0,5000.0,single_family,,Arlington,2519 Washington Blvd,22201,38.877874,-77.08677800000001,North Arlington,https://www.realtor.com/realestateandhomes-detail/2519-Washington-Blvd_Arlington_VA_22201_M68359-13113,https://ap.rdcpix.com/50673babccdfb71f0b438cf84ea173bdl-m3074044901x.jpg,"38.877874,-77.08677800000001","Clarendon Blvd, EB @ N Uhle Street, NS",0.933,Clarendon Metro,0.782,Thomas Jefferson Community Center,0.792,Plaza Library & Arlington Shop,0.91,Long Branch Elementary School,0.234,4.368,0.0,,,,9.0,4.144444444444444,1.2857142857142858,Troy's Italian Kitchen; Bonchon Arlington - N Pershing Dr; Sibarita Restaurant; Astor Mediterranean; Eastern Carryout & Cafe
198,M6309960494,2921886805,325000,,1.0,1,1.0,675.0,,condo,condos,Arlington,1809 N Queens Ln Unit 2-151,22201,38.89512,-77.07970999999999,Colonial Village,https://www.realtor.com/realestateandhomes-detail/1809-N-Queens-Ln-2-151_Arlington_VA_22201_M63099-60494,https://ap.rdcpix.com/72db73cd5cc1976fc3454b8827633336l-m1401467665x.jpg,"38.89512,-77.07970999999999","Wilson Blvd, WB @ N Quinn Street, FS",0.099,Arl. Courthouse Metro,0.381,Dawson Terrace Comm.,0.341,Plaza Library & Arlington Shop,0.422,Nottingham Elementary School,0.158,4.76,15.0,4.157142857142857,1.8571428571428572,Ireland's Four Courts; Quinn's; Ragtime; Barley Mac; Bayou Bakery,17.0,4.176470588235294,1.75,Mele Bistro; Ireland's Four Courts; Ragtime; TNR Cafe; Bayou Bakery
199,M5904884070,2921886841,895000,,2.0,2,4.0,2259.0,8000.0,single_family,,Arlington,2013 Patrick Henry Dr,22205,38.892042,-77.13488199999999,Tara - Leeway Heights,https://www.realtor.com/realestateandhomes-detail/2013-Patrick-Henry-Dr_Arlington_VA_22205_M59048-84070,https://ap.rdcpix.com/7be29ee4796073c3b8ff35c0eceb5abdl-m2494196881x.jpg,"38.892042,-77.13488199999999","N George Mason Drive, SB @ 16th Street N, NS",0.456,East Falls Church Metro,1.252,Langston Brown Comm. Center,0.519,Westover Library,0.537,Walter Reed Elementary School,0.537,,2.0,4.1,1.0,Thai Thai Restaurant; Taqueria El Poblano,25.0,4.192,1.3636363636363635,Maya Bistro; Arlington Kabob; Chill Zone Cafe Arlington; Charga Grill; Sushi-Zen
200,M5269228219,2921875775,760000,1.0,3.0,4,3.0,1458.0,1953.0,condo,townhomes,Arlington,1164 N Randolph St,22201,38.885492,-77.11014499999999,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1164-N-Randolph-St_Arlington_VA_22201_M52692-28219,https://ap.rdcpix.com/aa76d2038144cc04d524c687a9ad090dl-m2144774715x.jpg,"38.885492,-77.11014499999999",Washington Blvd + Stafford St,0.029,Ballston Metro,0.267,Lubber Run Comm. Center,0.927,Central Library,0.198,Washington-Liberty High School,0.167,4.28,18.0,4.1,2.0,Ballston Service Station; The Bronson Bierhall; The Melting Pot; Crafthouse; First Down Sports Bar & Grill,35.0,4.0588235294117645,1.8,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; Sweet Leaf Cafe; Rocklands Barbeque & Grilling Company- Arlington Store; Rus Uz - Arlington
201,M5533086376,2921873433,379000,,1.0,1,2.0,800.0,,condo,townhomes,Arlington,2613 S Walter Reed Dr Unit D,22206,38.84165,-77.104889,Fairlington,https://www.realtor.com/realestateandhomes-detail/2613-S-Walter-Reed-Dr-Unit-D_Arlington_VA_22206_M55330-86376,https://ap.rdcpix.com/53df41ea87488042f6aaebc4d31c2e13l-m1326805360x.jpg,"38.84165,-77.104889",S George Mason Dr + #3713,0.713,Pentagon City Metro,2.787,Barcroft Sport & Fitness Center,0.639,Shirlington Library,0.78,Wakefield High School,0.405,3.8960000000000004,2.0,3.95,2.0,Silver Diner - Alexandria; TGI Fridays,11.0,3.836363636363636,1.2727272727272727,Perfect Pita; Potbelly Sandwich Shop; Silver Diner - Alexandria; La Terraza; Taco Bell
202,M6431540370,2921873435,219900,,1.0,1,1.0,716.0,,condo,condos,Arlington,1021 Arlington Blvd Apt 543,22209,38.89283999,-77.06885013,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1021-Arlington-Blvd-Apt-543_Arlington_VA_22209_M64315-40370,https://ap.rdcpix.com/beb0fd684bcd96a58145f98791c3ba4dl-m1523924132x.jpg,"38.89283999,-77.06885013",N Moore St + Rosslyn Station Bus Bay C,0.244,Rosslyn Metro,0.298,Dawson Terrace Comm.,0.879,Plaza Library & Arlington Shop,0.905,Nottingham Elementary School,0.447,4.76,6.0,3.96,1.8333333333333333,Barley Mac; Continental Beer Garden; Continental Pool Lounge; Vantage Point Restaurant; City House,8.0,3.95,1.625,Chipotle Mexican Grill; Chopt Creative Salad Co.; Roti Modern Mediterranean; Starbucks; Così
203,M6771486412,2921872078,1100000,1.0,4.0,5,3.0,4084.0,7500.0,single_family,,Arlington,2219 S Monroe St,22206,38.848061,-77.08850799999999,Nauck,https://www.realtor.com/realestateandhomes-detail/2219-S-Monroe-St_Arlington_VA_22206_M67714-86412,https://ap.rdcpix.com/e4809fd02d99ad16ef74047fc1a4143dl-m206682413x.jpg,"38.848061,-77.08850799999999","Shirlington Station, Bay E",0.593,Pentagon City Metro,1.805,Charles Drew Comm. Center,0.163,Shirlington Library,0.525,Drew Model School,0.163,3.24,6.0,4.433333333333334,2.0,Ali's Bar; Busboys And Poets; T.H.A.I. In Shirlington Restaurant; Copperwood Tavern; Ichiban Sushi & Ramen,18.0,4.105555555555555,1.7272727272727273,Busboys And Poets; Moby Dick House of Kabob; Palette 22; Big Buns Damn Good Burger Co.; T.H.A.I. In Shirlington Restaurant
204,M5619060436,2921871326,719000,,2.0,2,3.0,1348.0,4336.0,single_family,,Arlington,724 N Barton St,22201,38.881592,-77.087727,North Arlington,https://www.realtor.com/realestateandhomes-detail/724-N-Barton-St_Arlington_VA_22201_M56190-60436,https://ap.rdcpix.com/d0bcee55046b6f0d872e7c9dacfd407al-m3992517968x.jpg,"38.881592,-77.087727","Clarendon Blvd, EB @ N Uhle Street, NS",0.687,Clarendon Metro,0.554,Thomas Jefferson Community Center,0.98,Plaza Library & Arlington Shop,0.662,Long Branch Elementary School,0.46,4.368,9.0,4.588888888888889,2.0,Ms. Peacock's Champagne Lounge; Screwtop Wine Bar; The Pinemoor; Green Pig Bistro; Lyon Hall,14.0,4.321428571428571,1.6666666666666667,Screwtop Wine Bar; Troy's Italian Kitchen; Bakeshop; Green Pig Bistro; Lyon Hall
205,M6194400029,2921867730,625000,,1.0,1,1.0,879.0,,condo,condos,Arlington,888 N Quincy St Unit 810,22203,38.88087,-77.10797,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/888-N-Quincy-St-Unit-810_Arlington_VA_22203_M61944-00029,https://ap.rdcpix.com/16d06614edbd7719ad270928d3dbddf3l-m1742756378x.jpg,"38.88087,-77.10797",Ballston Station + Bus Bay B,0.203,Ballston Metro,0.249,Lubber Run Comm. Center,0.663,Central Library,0.206,Washington-Liberty High School,0.494,4.28,17.0,4.121428571428571,1.9166666666666667,Ballston Service Station; The Bronson Bierhall; Crafthouse; First Down Sports Bar & Grill; Grand Cru Wine Bar and Bistro,41.0,4.007317073170731,1.6756756756756757,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; El Pollo Rico; Sweet Leaf Cafe; Rocklands Barbeque & Grilling Company- Arlington Store
206,M6055006664,2921866877,475000,,1.0,1,1.0,688.0,,condo,condos,Arlington,851 N Glebe Rd Apt 1615,22203,38.87890755,-77.11173283,Ashton Heights,https://www.realtor.com/realestateandhomes-detail/851-N-Glebe-Rd-Apt-1615_Arlington_VA_22203_M60550-06664,https://ap.rdcpix.com/f2aa051404f641a8ab3435bae36bbc5cl-m2407307560x.jpg,"38.87890755,-77.11173283",Ballston Station + Bus Bay B,0.183,Ballston Metro,0.218,Lubber Run Comm. Center,0.464,Central Library,0.417,Arlington Traditional School,0.549,4.968,18.0,4.1,2.0,Ballston Service Station; The Bronson Bierhall; The Melting Pot; Crafthouse; First Down Sports Bar & Grill,39.0,4.0394736842105265,1.7058823529411764,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; Sweet Leaf Cafe; Rus Uz - Arlington; Super Pollo
207,M5557256689,2921864181,209519,,2.0,2,2.0,1044.0,,condo,condos,Arlington,900 N Taylor St Apt 2025,22203,38.881067,-77.11329599999999,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/900-N-Taylor-St-Apt-2025_Arlington_VA_22203_M55572-56689,https://ap.rdcpix.com/2ab5187fb163bdd91529076f816ef382l-m2091913209x.jpg,"38.881067,-77.11329599999999",Ballston Station + Bus Bay B,0.096,Ballston Metro,0.083,Lubber Run Comm. Center,0.601,Central Library,0.379,Arlington Traditional School,0.467,4.968,18.0,4.1,2.0,Ballston Service Station; The Bronson Bierhall; The Melting Pot; Crafthouse; First Down Sports Bar & Grill,37.0,4.05,1.65625,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; Sweet Leaf Cafe; Rus Uz - Arlington; Super Pollo
208,M6205322099,2921863062,215000,,2.0,2,2.0,1152.0,,condo,condos,Arlington,900 N Taylor St Apt 516,22203,38.88087714,-77.11260146,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/900-N-Taylor-St-Apt-516_Arlington_VA_22203_M62053-22099,https://ap.rdcpix.com/00a762d907cbaabd919cbdd82a911d9bl-m2818335116x.jpg,"38.88087714,-77.11260146",Ballston Station + Bus Bay B,0.071,Ballston Metro,0.081,Lubber Run Comm. Center,0.591,Central Library,0.354,Arlington Traditional School,0.502,4.968,18.0,4.1,2.0,Ballston Service Station; The Bronson Bierhall; The Melting Pot; Crafthouse; First Down Sports Bar & Grill,35.0,4.052941176470589,1.7,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; Sweet Leaf Cafe; Rus Uz - Arlington; Super Pollo
209,M6074456184,2921860530,1195000,1.0,3.0,4,3.0,1800.0,7000.0,single_family,,Arlington,5013 34th St N,22207,38.912115,-77.140023,Rock Spring,https://www.realtor.com/realestateandhomes-detail/5013-34th-St-N_Arlington_VA_22207_M60744-56184,https://ap.rdcpix.com/96a7a7a43db445caf481bdaec827519fl-m1809233471x.jpg,"38.912115,-77.140023",N Glebe Rd + 20th St,1.598,East Falls Church Metro,2.019,Madison Comm. Center,1.208,Westover Library,1.766,Jamestown Elementary School,0.349,5.0,0.0,,,,0.0,,,
210,M9407423732,2708116072,1799000,1.0,6.0,7,6.0,5745.0,10046.0,single_family,,Arlington,2301 N Powhatan St Unit 2,22205,38.891711,-77.149466,Leeway Overlee,https://www.realtor.com/realestateandhomes-detail/2301-N-Powhatan-St-2_Arlington_VA_22205_M94074-23732,https://ap.rdcpix.com/2489dce2645ff9b8b805eda49e6dabdbl-m3242058228x.jpg,"38.891711,-77.149466",E Falls Church Station + Bus Bay D,0.54,East Falls Church Metro,0.56,Langston Brown Comm. Center,1.258,Westover Library,0.533,Tuckahoe Elementary School,0.523,4.6160000000000005,0.0,,,,6.0,4.4799999999999995,1.6666666666666667,"Maya Bistro; District Taco; Sloppy Mama's BBQ; Misomen Sushi Restaurant; Chicago's Pizza With A Twist - Arlington, VA"
211,M5436740924,2912196791,2249000,1.0,6.0,7,7.0,6692.0,10000.0,single_family,,Arlington,5059 36th St N,22207,38.915807,-77.141,Rock Spring,https://www.realtor.com/realestateandhomes-detail/5059-36th-St-N_Arlington_VA_22207_M54367-40924,https://ap.rdcpix.com/aafad7bee7a746ba393f48648db0ba18l-m4086469804x.jpg,"38.915807,-77.141",N Glebe Rd + 20th St,1.833,East Falls Church Metro,2.23,Madison Comm. Center,1.093,Westover Library,2.018,Jamestown Elementary School,0.126,5.0,0.0,,,,0.0,,,
212,M9745121365,2918777304,1895000,1.0,4.0,5,5.0,5369.0,8660.0,single_family,,Arlington,2310 N Potomac,22205,38.89136619,-77.15138746,Leeway Overlee,https://www.realtor.com/realestateandhomes-detail/2310-N-Potomac_Arlington_VA_22205_M97451-21365,https://ap.rdcpix.com/5f403d15f726b5c5dd8a479557fc1b4el-m267567895x.jpg,"38.89136619,-77.15138746",E Falls Church Station + Bus Bay D,0.453,East Falls Church Metro,0.473,Langston Brown Comm. Center,1.364,Westover Library,0.601,Tuckahoe Elementary School,0.424,4.6160000000000005,0.0,,,,3.0,4.4,,Sloppy Mama's BBQ; Misomen Sushi Restaurant; VA
213,M6102160523,2918131596,1450000,1.0,4.0,5,5.0,4711.0,6802.0,single_family,,Arlington,733 N Emerson St,22203,38.876546999999995,-77.121884,Bluemont,https://www.realtor.com/realestateandhomes-detail/733-N-Emerson-St_Arlington_VA_22203_M61021-60523,https://ap.rdcpix.com/28e099c68d93b83e428961f776a7b191l-m516488657x.jpg,"38.876546999999995,-77.121884",Ballston Station + Bus Bay B,0.651,Ballston Metro,0.637,Lubber Run Comm. Center,0.525,Glencarlyn Library,0.92,Arlington Traditional School,0.231,4.968,5.0,3.84,2.0,Crafthouse; Mussel Bar & Grille; World of Beer; Buffalo Wild Wings; Silver Leaf Restaurant and Bar,15.0,4.173333333333334,1.7692307692307692,La Union Restaurant; Pupatella; Stageplate Bistro - Arlington; Crafthouse; Mussel Bar & Grille
