,RestaurantName,AddressVicinity,Type,PriceLevel,Rating,BusinessStatus,LatLong
211,The Georgetown Inn,"1310 Wisconsin Avenue Northwest, Washington","['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.3,OPERATIONAL,"38.9071451,-77.0634077"
212,Sequoia DC,"3000 K Street Northwest, Washington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,4.3,OPERATIONAL,"38.9022809,-77.0600142"
213,The Cheesecake Factory,"2900 Clarendon Boulevard, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,OPERATIONAL,"38.8879346,-77.0934824"
214,Arlington Rooftop Bar & Grill,"2424 Wilson Boulevard, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.0,OPERATIONAL,"38.89042799999999,-77.088262"
215,Farmers Fishers Bakers,"Harbour at The Georgetown Waterfront, 3000 K St NW, The Washington, Washington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.9017107,-77.0597275"
216,Whitlow's On Wilson,"2854 Wilson Boulevard, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.3,OPERATIONAL,"38.88865690000001,-77.0929792"
217,Filomena Ristorante,"1063 Wisconsin Avenue Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,4.6,OPERATIONAL,"38.9044333,-77.0626333"
218,Clyde's of Georgetown,"3236 M Street Northwest, Washington","['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.4,OPERATIONAL,"38.9050182,-77.0640641"
219,Peacock Café,"3251 Prospect Street Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.906237,-77.06386669999999"
220,sweetgreen,"1044 Wisconsin Avenue Northwest, Washington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,OPERATIONAL,"38.9038001,-77.0629713"
221,Roof Terrace Restaurant,"2700 F Street Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,4.0,CLOSED_TEMPORARILY,"38.89524139999999,-77.0559464"
222,Kafe Leopold Restaurant,"3315 Cady's Alley Northwest, Washington","['bakery', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.3,OPERATIONAL,"38.9049153,-77.0665236"
223,Ragtime,"1345 North Courthouse Road, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8894074,-77.08345419999999"
224,1789,"1226 36th Street Northwest, Washington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,4.6,OPERATIONAL,"38.9060732,-77.0704882"
225,Bayou Bakery,"1515 North Courthouse Road, Arlington","['bakery', 'cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.3,OPERATIONAL,"38.8910756,-77.0836882"
226,Cafe Milano,"3251 Prospect Street Northwest, Washington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,4.4,OPERATIONAL,"38.9062444,-77.06364719999999"
227,Ireland's Four Courts,"2051 Wilson Boulevard, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8919329,-77.08420989999999"
228,Vantage Point Restaurant,"1900 Fort Myer Drive, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.8,OPERATIONAL,"38.897674,-77.073071"
229,Bonchon Arlington - N Pershing Dr,"2201 North Pershing Drive Suite E, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8808437,-77.0859378"
230,The Italian Store,"3123 Lee Highway, Arlington","['grocery_or_supermarket', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.7,OPERATIONAL,"38.89670700000001,-77.096396"
232,The Liberty Tavern,"3195 Wilson Boulevard, Arlington","['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8863802,-77.09687459999999"
236,Northside Social Coffee & Wine,"3211 Wilson Boulevard, Arlington","['cafe', 'art_gallery', 'bakery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.6,OPERATIONAL,"38.88543019999999,-77.0978427"
237,Silver Diner,"3200 Wilson Boulevard, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.8855034,-77.0971534"
241,Vocelli Pizza,"2626 North Pershing Drive, Arlington","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.8,OPERATIONAL,"38.8805986,-77.0898443"
243,El Pollo Rico,"932 North Kenmore Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.5,OPERATIONAL,"38.883846,-77.10071599999999"
244,Lyon Hall,"3100 Washington Boulevard, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.8854693,-77.09496560000001"
245,Screwtop Wine Bar,"1025 North Fillmore Street, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.7,OPERATIONAL,"38.8853921,-77.09273329999999"
246,Rhodeside Grill,"1836 Wilson Boulevard, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.892966,-77.080254"
247,Bracket Room Arlington VA,"1210 North Garfield Street, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.7,OPERATIONAL,"38.88696640000001,-77.0941077"
248,Darna,"946 North Jackson Street, Arlington","['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.6,OPERATIONAL,"38.88403929999999,-77.0996131"
249,Mala Tang,"3434 Washington Boulevard, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.8858529,-77.1023227"
250,Green Pig Bistro,"1025 North Fillmore Street, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.886151,-77.092674"
258,Rocklands Barbeque & Grilling Company- Arlington Store,"3471 Washington Boulevard, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8863441,-77.103471"
263,Pizza Hut,"3311 Lee Highway, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,2.8,OPERATIONAL,"38.896805,-77.1017075"
264,Alto Fumo Pizzeria,"2909 Wilson Boulevard, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,CLOSED_TEMPORARILY,"38.8886111,-77.09361109999999"
266,BGR The Burger Joint,"3129 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.8965456,-77.0966479"
267,Carriage House,"4030 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,OPERATIONAL,"38.896607,-77.10850099999999"
269,Delhi Club,"1135 North Highland Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.8872058,-77.0947752"
271,BlackSalt,"4883 MacArthur Boulevard Northwest, Washington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,4.6,OPERATIONAL,"38.9177778,-77.0966667"
273,Kotobuki,"4822 MacArthur Boulevard Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.9167639,-77.09641669999999"
278,Little China Cafe,"4830 MacArthur Boulevard Northwest, Washington","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.9,OPERATIONAL,"38.91689720000001,-77.0965647"
279,Lebanese Taverna Market,"4400 Old Dominion Drive, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.899102,-77.11743799999999"
285,Momo's Cafe,"4828 MacArthur Boulevard Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.3,OPERATIONAL,"38.91684480000001,-77.0964843"
286,Mikura,"4822 MacArthur Boulevard Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.5,OPERATIONAL,"38.916715,-77.0964132"
287,Lupo Verde Osteria Palisades,"4814 MacArthur Boulevard Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,4.7,OPERATIONAL,"38.9165919,-77.0961765"
343,Domino's Pizza,"2602 Columbia Pike, Arlington","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,2.6,OPERATIONAL,"38.8627267,-77.08539429999999"
344,Atilla's Restaurant,"2705 Columbia Pike, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.5,OPERATIONAL,"38.8629259,-77.0860326"
346,Pizza Hut,"4811 Columbia Pike, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,2.5,OPERATIONAL,"38.8569789,-77.10929949999999"
347,Thai Curry,"307 North Glebe Road, Arlington","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.9,OPERATIONAL,"38.87425760000001,-77.10517329999999"
402,L.A. Bar & Grill,"2530 Columbia Pike, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.4,OPERATIONAL,"38.8628666,-77.0846558"
403,Taqueria el Poblano,"2401 Columbia Pike, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.8636214,-77.0834988"
404,Top's China,"2520 Columbia Pike, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.2,OPERATIONAL,"38.8629037,-77.0843869"
405,Dunkin',"3100 Columbia Pike, Arlington","['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.4,OPERATIONAL,"38.8617752,-77.0888611"
406,Shell,"3100 Columbia Pike, Arlington","['gas_station', 'atm', 'convenience_store', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,3.5,OPERATIONAL,"38.86193,-77.0887298"
407,Astor Mediterranean,"2300 North Pershing Drive, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.2,OPERATIONAL,"38.8805056,-77.0858361"
411,Rustico Alexandria,"827 Slaters Lane, Alexandria","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.821692,-77.04714899999999"
412,Cheesetique Del Ray,"2411 Mount Vernon Avenue, Alexandria","['restaurant', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.6,OPERATIONAL,"38.8273059,-77.0587415"
413,Evening Star Cafe,"2000 Mount Vernon Avenue, Alexandria","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.8239944,-77.0585361"
417,Subway,"3825 Jefferson Davis Highway Suite B, Alexandria","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.8,OPERATIONAL,"38.83889659999999,-77.0515672"
418,McDonald's,"2620 Jefferson Davis Highway, Arlington","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.8,OPERATIONAL,"38.85005880000001,-77.0532238"
419,Pork Barrel BBQ,"2312 Mount Vernon Avenue, Alexandria","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.82676079999999,-77.05896609999999"
420,Del Ray Pizzeria,"2218 Mount Vernon Avenue, Alexandria","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8259895,-77.0587962"
421,RT's Restaurant,"3804 Mount Vernon Avenue, Alexandria","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.6,OPERATIONAL,"38.83947850000001,-77.06271559999999"
422,IHOP,"3425-A, Richmond Highway, Alexandria","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.1,OPERATIONAL,"38.8358319,-77.0511844"
423,Del Ray Café,"205 East Howell Avenue, Alexandria","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.6,OPERATIONAL,"38.8238108,-77.0576903"
424,Taqueria el Poblano,"2400 Mount Vernon Avenue, Alexandria","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.4,OPERATIONAL,"38.82701050000001,-77.0590323"
425,Sicilian Pizza,"1504 Mount Vernon Avenue B, Alexandria","['meal_delivery', 'meal_takeaway', 'bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.2,OPERATIONAL,"38.8200571,-77.05781619999999"
426,O'Malley's,"2650 Richmond Highway, Arlington","['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",,3.5,CLOSED_TEMPORARILY,"38.84961630000001,-77.05338809999999"
429,Dogfish Head Alehouse,"6220 Leesburg Pike Seven Corners, Center, Falls Church","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.867625,-77.15154179999999"
431,Red Robin Gourmet Burgers and Brews,"6331 Seven Corners Center, Falls Church","['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.8701035,-77.1535943"
433,Subway,"6138 Arlington Boulevard Unit 20, Falls Church","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.5,OPERATIONAL,"38.86917129999999,-77.14582229999999"
434,Hong Kong Palace,"6387 Seven Corners Center, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,OPERATIONAL,"38.86705449999999,-77.150561"
435,Chick-fil-A,"6108C Arlington Boulevard, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.5,OPERATIONAL,"38.8686548,-77.14417809999999"
436,Padaek,"6395 Seven Corners Center, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.6,OPERATIONAL,"38.8672007,-77.1503391"
438,Domino's Pizza,"6138 Arlington Boulevard # C, Falls Church","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.0,OPERATIONAL,"38.869159,-77.14584049999999"
439,Nhu Lan Sandwich Shop,"6763 Wilson Boulevard, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.2,OPERATIONAL,"38.8742862,-77.1546158"
440,Pizza Boli's,"6033 Wilson Boulevard, Arlington","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.9,OPERATIONAL,"38.873933,-77.14038699999999"
441,Huong Viet Restaurant,"6785 Wilson Boulevard, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.2,OPERATIONAL,"38.873624,-77.15499899999999"
442,Pizza Hut,"6379 Seven Corners Center, Falls Church","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,2.4,OPERATIONAL,"38.8669306,-77.1507909"
444,Allspice Catering,"6017 Wilson Boulevard, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.3,OPERATIONAL,"38.8740499,-77.13982039999999"
445,Starbucks,"6270 Seven Corners Place, Falls Church","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.4,OPERATIONAL,"38.869627,-77.151657"
446,Banh Cuon Saigon,"6795 Wilson Boulevard #54, Falls Church","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.6,OPERATIONAL,"38.87307499999999,-77.1550306"
447,Com Tam Saigon,"6795 Wilson Boulevard # 16, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",,3.8,OPERATIONAL,"38.8728407,-77.15460949999999"
448,Arlington Kabob,"5046 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.7,OPERATIONAL,"38.8961292,-77.13090249999999"
449,Aladdin Restaurant,"5169 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",,4.1,OPERATIONAL,"38.896697,-77.132919"
450,La Moo Creamery,"2501 North Harrison Street, Arlington","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.3,OPERATIONAL,"38.8975749,-77.1384384"
451,Charga Grill,"5151 Lee Highway, Arlington","['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",1.0,4.6,OPERATIONAL,"38.8966875,-77.1323192"
452,Wendy's,"5066 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.6,OPERATIONAL,"38.8960796,-77.1318595"
453,Minerva Express,"4815 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",,3.8,OPERATIONAL,"38.8969444,-77.12583330000001"
454,Caribbean Grill,"5183 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.1,OPERATIONAL,"38.89666669999999,-77.13333329999999"
455,Metro 29 Diner,"4711 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.8979958,-77.1228963"
456,Subway,"1701 N. George Mason Drive Main Bldg Dining Room, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.1,OPERATIONAL,"38.888994,-77.127284"
457,Thirsty Bernie,"2163 North Glebe Road, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.8972222,-77.1225"
458,The Italian Store,"5837 N Washington Boulevard, Arlington","['grocery_or_supermarket', 'meal_takeaway', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",,4.7,OPERATIONAL,"38.8851245,-77.14034029999999"
459,McDonald's,"4834 Lee Highway, Arlington","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.6,OPERATIONAL,"38.89631859999999,-77.12623889999999"
460,Thai Thai Restaurant,"5123 Lee Highway, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.2,OPERATIONAL,"38.896639,-77.1315323"
461,Deli Italiano Gourmet Pizza and Subs,"6505 29th Street North, Arlington","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.5,OPERATIONAL,"38.8992652,-77.15737730000001"
462,Hunan Village,"4775 Lee Highway, Arlington","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.9,OPERATIONAL,"38.897425,-77.124459"
463,Stray Cat Cafe,"5866 Washington Boulevard, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.4,OPERATIONAL,"38.8852778,-77.1416667"
464,Ghin Na Ree Restaurant,"2509 North Harrison Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.5,OPERATIONAL,"38.89773630000001,-77.13947069999999"
465,Peking Pavilion,"2912 North Sycamore Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.5,OPERATIONAL,"38.8995112,-77.1572454"
467,Peter Chang,"2503-E North Harrison Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.89769400000001,-77.1388259"
468,Flippin’ Pizza - Falls Church,"800 West Broad Street #103, Falls Church","['meal_delivery', 'bakery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.0,OPERATIONAL,"38.888521,-77.180499"
470,Yayla Bistro,"2201 North Westmoreland Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.8865583,-77.162475"
471,Chipotle Mexican Grill,"358 West Broad Street, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.8,OPERATIONAL,"38.8850655,-77.1745479"
473,Chef Bon's Yum Truck,"140 Little Falls Street #105, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",,3.0,OPERATIONAL,"38.8844458,-77.1727463"
474,Lucky Thai Restaurant,"240 West Broad Street, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.88362999999999,-77.1727891"
475,Hot N Juicy Crawfish,"116 West Broad Street, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8827132,-77.171534"
479,Koi Koi Sushi and Roll,"450 West Broad Street # 117, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8867201,-77.1773258"
480,Subway,"121 E. Annandale Road Space #4, Falls Church","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.0,OPERATIONAL,"38.8801307,-77.1728037"
481,Dunkin',"101 East Annandale Road, Falls Church","['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.1,OPERATIONAL,"38.8802586,-77.1727378"
482,Hunan Cafe,"126 West Broad Street, Falls Church","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.8,OPERATIONAL,"38.88299,-77.171912"
483,Ramen Factory 42,"308 South Washington Street, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.88060000000001,-77.173464"
485,Takumi,"310 South Washington Street B, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.6,OPERATIONAL,"38.8805701,-77.1735393"
486,Caribbean Plate,"133 East Annandale Road, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8799103,-77.1727554"
491,sweetgreen,"4075 Wilson Boulevard, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.8801004,-77.1086699"
492,Mussel Bar & Grille,"800 North Glebe Road, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.88,-77.1147222"
493,Layalina Restaurant,"5216 Wilson Boulevard, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,OPERATIONAL,"38.87708200000001,-77.12473899999999"
495,Jimmy John's,"550 North Quincy Street Unit B, Arlington","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.1,OPERATIONAL,"38.87794679999999,-77.1080197"
496,Grand Cru Wine Bar and Bistro,"4301 Wilson Boulevard #100, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.8807971,-77.1127432"
498,Domino's Pizza,"550 North Quincy Street, Arlington","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,2.0,OPERATIONAL,"38.87794679999999,-77.1080197"
500,Zoës Kitchen,"4245 Fairfax Drive Ste 150, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.0,CLOSED_TEMPORARILY,"38.8824917,-77.1124863"
501,Which Wich Superior Sandwiches,"4300 Wilson Boulevard # 160, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.8,OPERATIONAL,"38.879886,-77.1124028"
502,Hunan Gate,"4233 Fairfax Drive, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.9,OPERATIONAL,"38.88237030000001,-77.1117175"
506,Starbucks,"901 North Stuart Street, Arlington","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,3.7,OPERATIONAL,"38.8812864,-77.1113862"
507,Pizza Roma,"4219 Fairfax Drive, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.4,OPERATIONAL,"38.8825105,-77.111362"
512,City Diner,"5616 Leesburg Pike, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.4,OPERATIONAL,"38.8488789,-77.1251024"
513,Full Kee Restaurant,"5830 Columbia Pike, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.9,OPERATIONAL,"38.84941529999999,-77.13240859999999"
514,Rabieng Thai Restaurant,"5892 Leesburg Pike, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.6,OPERATIONAL,"38.8537119,-77.1344103"
515,Einstein Bros. Bagels,"3556D South Jefferson Street, Falls Church","['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.6,OPERATIONAL,"38.84787060000001,-77.12075519999999"
518,Babylon Futbol Cafe,"3501 South Jefferson Street, Falls Church","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.848859,-77.117358"
519,Pizza Hut,"5815 Leesburg Pike, Falls Church","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.2,OPERATIONAL,"38.8497443,-77.1326266"
520,Moe's Southwest Grill,"5855 Leesburg Pike, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.0,OPERATIONAL,"38.85113,-77.132464"
524,Papa John's Pizza,"5860 Columbia Pike, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.2,OPERATIONAL,"38.8485854,-77.13467279999999"
525,Dairy Queen,"3527 South Jefferson Street, Falls Church","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.1,OPERATIONAL,"38.847669,-77.1173421"
527,Cinthia's Bakery II LLC,"5037 Columbia Pike, Arlington","['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.8,OPERATIONAL,"38.8555344,-77.1140096"
533,Wendy's,"5050 South Chesterfield Road, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.7,OPERATIONAL,"38.8432059,-77.10883679999999"
534,Stone Hot Pizza,"3829 South George Mason Drive, Falls Church","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.3,OPERATIONAL,"38.8406469,-77.1208983"
535,EYO Restaurant and Sports Bar,"3821 South George Mason Drive, Bailey's Crossroads","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.840963,-77.120134"
536,The Perfect Pita,"5205 Leesburg Pike, Skyline Heights Court #112, Falls Church","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.5,CLOSED_TEMPORARILY,"38.844902,-77.11954419999999"
537,Popeyes Louisiana Kitchen,"4675 King Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.7,OPERATIONAL,"38.84244309999999,-77.10797749999999"
538,La Terraza,"4716 King Street, Alexandria","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.8427783,-77.1100845"
539,Dunkin',"4700 S King Street B, Alexandria","['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.8,OPERATIONAL,"38.8421499,-77.10927"
540,Potbelly Sandwich Shop,"4690 S King Street, Alexandria","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,4.4,OPERATIONAL,"38.8422241,-77.1094392"
541,McDonald's,"4803 Leesburg Pike, Alexandria","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.5,OPERATIONAL,"38.8434451,-77.1120483"
