X,Y,OBJECTID,CODE,NAME,SYMBOL,SENIORCENTER,ADDRESS
11879226.714375,7008579.989375,87,11,Recycling Center,RC,0,QUINCY PARK
11869533.97,7008920.768125,88,5,Walter Reed Elementary School,AES,0,1644 MCKINLEY RD
11869382.248125,7008655.285625,89,2,Westover Library,LB,0,1644 MCKINLEY RD
11889963.775,7012472.02625,90,10,Rosslyn,PO,0,1101 WILSON BLVD
11884053.53,6992991.55,91,4,Trades Center,CO,0,4300 S 28TH ST
11886135.6675,7010495.729375,92,4,Detention Center,CO,0,1435 N COURTHOUSE RD
11886164.5025,7010258.184375,93,4,Judical Center,CO,0,1425 N COURTHOUSE RD
11878476.501875,7012940.19437499,94,1,Fire Station 3,FS,0,4100 OLD DOMINION DR
11894035.58,6999937.593125,95,10,Eads,PO,0,1301 S FERN ST
11893246.718125,6998542.07,96,2,Aurora Hills Library,LB,0,735 18TH ST S
11878254.5975,6994789.33812501,97,5,Wakefield High School,HS,0,4901 S CHESTERFIELD RD
11867911.783125,7016703.63249999,98,5,Discovery Elementary School,ES,0,5241 36th ST N
11887826.35,7011994.51,99,7,The Heights Building,OC,0,1601 WILSON BLVD
11885549.43,7010441.98,100,4,Ellen M. Bozman Government Center,CO,0,2100 CLARENDON BLVD
11878997.45,7009048.03,101,9,Washington-Liberty High School Swimming Pool,SP,0,1300 N QUINCY ST
11878532.435625,7009349.34875,102,5,Washington-Liberty High School,HS,0,1301 N STAFFORD ST
11882928.13,6990807.33,103,1,Fire Station 7,FS,0,3116 S ABINGDON ST
11877968.8,7013899.02,104,5,Dorothy Hamm Middle School,AMS,0,4100 VACATION LN
11882083.55,7003051.424375,105,5,Fleet Elementary School,ES,0,115 S OLD GLEBE RD
11887626.685,7012161.11750001,106,1,Fire Station 10,FS,0,1791 N QUINN ST
11885385.47375,6994994.388125,107,5,Drew Model School,AES,0,3500 23RD ST S
11885359.224375,6995195.97562499,108,6,Charles Drew Comm. Center,CC,0,3500 23RD ST S
11893163.7125,6998735.325625,109,6,Aurora Hills Comm. Center,CC,1,735 18TH ST S
11874168.30875,7000500.781875,110,2,Glencarlyn Library,LB,0,300 S KENSINGTON ST
11874086.228125,7000314.52187499,111,6,Carlin Hall Community Center,CC,0,5711 S 4TH ST
11886173.046875,7004148.718125,112,4,DHS HDQRTRS,CO,0,3033 WILSON BLVD
11884820.3825,7001250.154375,113,7,Fenwick Center,OC,0,800 S WALTER REED DR
11884912.865625,7000988.61687499,114,2,Columbia Pike Library,LB,0,816 S WALTER REED DR
11884737.976875,7000849.341875,115,2,Arlington Career Center,OC,0,816 S WALTER REED DR
11889527.47875,6999959.85875,116,5,Hoffman-Boston Elementary School,ES,0,1415 S QUEEN ST
11889639.886875,7000159.251875,117,6,Carver Community Center,CC,1,1415 S QUEEN ST
